VoteIntention,Region,Gender,Ethnicity,MaritalStatus,Age,Housing,Qualifications
NA,east midlands,male,white,Married/Widowed,48,Owns/Mortgage,Technical/None/Other
Conservative,wales,male,white,Married/Widowed,47,Owns/Mortgage,Technical/None/Other
Other,wales,male,white,Married/Widowed,53,Owns/Mortgage,BA
NA,south east,female,white,Married/Widowed,48,Rent/Other,BA
NA,east anglia,male,white,Partner/Single,50,Owns/Mortgage,GCSE
NA,south east,male,white,Married/Widowed,62,Owns/Outright,GCE
Other,north west,male,white,Seperated/Divorced,68,Owns/Outright,BA
Conservative,east anglia,female,white,Partner/Single,55,Owns/Mortgage,Technical/None/Other
NA,south west,male,white,Married/Widowed,61,Owns/Mortgage,BA
Conservative,east anglia,female,white,Married/Widowed,51,Owns/Outright,GCSE
NA,south east,male,white,Married/Widowed,57,Owns/Outright,Technical/None/Other
Labour,south east,male,white,Married/Widowed,41,Owns/Mortgage,Technical/None/Other
NA,east anglia,female,white,Married/Widowed,58,Owns/Mortgage,GCSE
Labour,south east,female,black or black british,Seperated/Divorced,48,Owns/Mortgage,GCSE
Labour,east midlands,male,black or black british,Seperated/Divorced,32,Rent/Other,Technical/None/Other
NA,south west,male,white,Married/Widowed,34,Rent/Other,BA
LiberalDemocrat,north west,female,white,Partner/Single,53,Owns/Mortgage,BA
LiberalDemocrat,west midlands,female,white,Married/Widowed,41,Owns/Mortgage,BA
NA,scotland,male,white,Partner/Single,29,Owns/Mortgage,Technical/None/Other
NA,south east,female,white,Partner/Single,32,Owns/Outright,Technical/None/Other
Conservative,east anglia,female,white,Married/Widowed,29,Owns/Mortgage,BA
NA,south east,male,black or black british,Married/Widowed,31,Rent/Other,BA
LiberalDemocrat,yorkshire & humberside,male,white,Married/Widowed,73,Owns/Outright,Technical/None/Other
NA,greater london,male,black or black british,Married/Widowed,35,Owns/Mortgage,BA
NA,north west,male,white,Partner/Single,55,Owns/Outright,GCE
LiberalDemocrat,yorkshire & humberside,female,white,Partner/Single,47,Owns/Mortgage,Technical/None/Other
NA,south east,female,white,Married/Widowed,48,Owns/Outright,BA
LiberalDemocrat,south west,female,white,Married/Widowed,70,Owns/Outright,GCE
LiberalDemocrat,south west,male,white,Partner/Single,33,Rent/Other,BA
NA,south east,male,white,Married/Widowed,61,Owns/Outright,BA
Conservative,yorkshire & humberside,male,white,Seperated/Divorced,64,Owns/Outright,GCE
Labour,south east,male,white,Married/Widowed,54,Owns/Mortgage,GCE
LiberalDemocrat,south west,male,white,Married/Widowed,46,Owns/Mortgage,BA
Conservative,east anglia,female,white,Married/Widowed,72,Owns/Outright,Technical/None/Other
NA,south west,female,white,Married/Widowed,68,Owns/Mortgage,GCE
LiberalDemocrat,north,female,white,Married/Widowed,62,Owns/Outright,Technical/None/Other
NA,south east,female,white,Married/Widowed,44,Owns/Mortgage,BA
Conservative,west midlands,female,white,Married/Widowed,65,Owns/Mortgage,Technical/None/Other
NA,west midlands,male,mixed background,Seperated/Divorced,31,Rent/Other,BA
Conservative,south east,female,white,Married/Widowed,74,Owns/Outright,Technical/None/Other
Labour,south east,female,white,Married/Widowed,73,Rent/Other,BA
LiberalDemocrat,south west,male,white,Partner/Single,37,Owns/Mortgage,BA
NA,greater london,female,white,Partner/Single,61,Owns/Outright,GCE
LiberalDemocrat,south east,female,white,Seperated/Divorced,50,Rent/Other,BA
Labour,yorkshire & humberside,female,white,Married/Widowed,65,Owns/Outright,BA
Conservative,south east,female,white,Married/Widowed,80,Owns/Outright,Technical/None/Other
NA,north west,male,white,Married/Widowed,30,Rent/Other,GCE
NA,east midlands,female,white,Married/Widowed,39,Owns/Mortgage,GCE
NA,east anglia,female,white,Married/Widowed,67,Owns/Mortgage,GCSE
LiberalDemocrat,south east,male,white,Married/Widowed,66,Owns/Outright,GCE
NA,yorkshire & humberside,female,white,Married/Widowed,47,Owns/Outright,BA
Conservative,west midlands,male,white,Married/Widowed,32,Owns/Mortgage,BA
Conservative,wales,female,white,Married/Widowed,60,Owns/Outright,GCSE
Other,greater london,male,white,Partner/Single,62,Rent/Other,Technical/None/Other
NA,south west,male,white,Married/Widowed,72,Owns/Outright,Technical/None/Other
NA,south west,male,white,Married/Widowed,39,Owns/Mortgage,BA
Labour,greater london,female,black or black british,Seperated/Divorced,71,Owns/Mortgage,GCE
NA,west midlands,female,black or black british,Married/Widowed,38,Rent/Other,GCE
Conservative,yorkshire & humberside,female,white,Married/Widowed,59,Owns/Outright,BA
NA,wales,female,white,Married/Widowed,62,Owns/Mortgage,Technical/None/Other
NA,north,female,white,Married/Widowed,65,Owns/Outright,GCE
LiberalDemocrat,yorkshire & humberside,male,white,Married/Widowed,67,Owns/Outright,Technical/None/Other
Labour,south east,female,white,Seperated/Divorced,53,Rent/Other,GCSE
NA,yorkshire & humberside,male,white,Married/Widowed,66,Owns/Outright,Technical/None/Other
NA,east anglia,female,white,Married/Widowed,64,Owns/Outright,Technical/None/Other
LiberalDemocrat,south east,male,white,Partner/Single,75,Owns/Outright,Technical/None/Other
LiberalDemocrat,west midlands,female,white,Partner/Single,38,Owns/Mortgage,GCE
LiberalDemocrat,greater london,male,white,Married/Widowed,58,Rent/Other,BA
Conservative,east midlands,male,white,Married/Widowed,57,Owns/Mortgage,Technical/None/Other
Labour,north west,female,white,Married/Widowed,73,Owns/Mortgage,GCSE
Labour,north,female,white,Partner/Single,27,Rent/Other,Technical/None/Other
NA,north,female,white,Married/Widowed,34,Owns/Mortgage,Technical/None/Other
LiberalDemocrat,west midlands,male,white,Married/Widowed,50,Owns/Outright,BA
Conservative,east midlands,female,white,Married/Widowed,54,Owns/Mortgage,GCE
Labour,north,female,white,Married/Widowed,59,Owns/Mortgage,GCE
Labour,scotland,female,white,Partner/Single,23,Owns/Mortgage,BA
Conservative,north west,female,white,Married/Widowed,41,Rent/Other,BA
NA,north west,female,white,Partner/Single,28,Owns/Mortgage,Technical/None/Other
LiberalDemocrat,east midlands,male,white,Partner/Single,28,Rent/Other,BA
NA,north west,female,white,Partner/Single,61,Owns/Outright,Technical/None/Other
Conservative,greater london,female,white,Married/Widowed,68,Owns/Outright,Technical/None/Other
Labour,yorkshire & humberside,female,white,Married/Widowed,79,Owns/Outright,GCSE
Conservative,greater london,male,white,Married/Widowed,33,Owns/Mortgage,BA
NA,south east,male,white,Married/Widowed,50,Owns/Mortgage,Technical/None/Other
NA,north west,female,white,Partner/Single,62,Rent/Other,Technical/None/Other
Labour,greater london,male,white,Partner/Single,47,Owns/Mortgage,BA
NA,south west,male,black or black british,Partner/Single,19,Rent/Other,GCE
NA,west midlands,male,white,Partner/Single,51,Rent/Other,Technical/None/Other
NA,east anglia,female,white,Seperated/Divorced,50,Owns/Mortgage,BA
Labour,south west,male,white,Married/Widowed,62,Owns/Mortgage,BA
LiberalDemocrat,yorkshire & humberside,female,white,Partner/Single,34,Owns/Mortgage,GCSE
NA,yorkshire & humberside,male,white,Married/Widowed,64,Owns/Mortgage,GCE
LiberalDemocrat,south east,male,white,Married/Widowed,66,Owns/Outright,Technical/None/Other
NA,south east,female,white,Married/Widowed,68,Owns/Outright,GCSE
LiberalDemocrat,greater london,male,white,Partner/Single,65,Owns/Outright,Technical/None/Other
LiberalDemocrat,greater london,female,white,Partner/Single,50,Owns/Mortgage,BA
Labour,greater london,female,other ethnic background,Partner/Single,26,Owns/Outright,BA
LiberalDemocrat,east anglia,male,white,Married/Widowed,65,Owns/Outright,BA
Conservative,north west,female,white,Partner/Single,31,Rent/Other,BA
LiberalDemocrat,west midlands,female,white,Married/Widowed,34,Owns/Outright,BA
Other,greater london,male,white,Partner/Single,46,Rent/Other,BA
Conservative,east midlands,male,white,Married/Widowed,69,Owns/Mortgage,Technical/None/Other
NA,west midlands,male,white,Partner/Single,66,Rent/Other,Technical/None/Other
Labour,north west,female,white,Partner/Single,57,Owns/Outright,BA
NA,south west,male,white,Married/Widowed,73,Owns/Outright,Technical/None/Other
Conservative,north west,male,white,Married/Widowed,69,Owns/Outright,Technical/None/Other
Conservative,east anglia,male,white,Partner/Single,50,Owns/Mortgage,GCE
NA,north west,male,white,Married/Widowed,55,Owns/Mortgage,GCSE
Other,greater london,male,white,Seperated/Divorced,31,Rent/Other,GCSE
NA,south west,female,white,Married/Widowed,65,Owns/Outright,GCE
Labour,greater london,male,white,Partner/Single,22,Rent/Other,BA
Labour,north,female,white,Partner/Single,62,Owns/Mortgage,BA
Conservative,south west,female,white,Married/Widowed,37,Owns/Mortgage,GCE
NA,north west,female,white,Married/Widowed,46,Owns/Mortgage,BA
LiberalDemocrat,south west,male,white,Seperated/Divorced,66,Owns/Mortgage,Technical/None/Other
LiberalDemocrat,north west,male,white,Married/Widowed,67,Rent/Other,GCSE
NA,scotland,male,white,Partner/Single,38,Rent/Other,Technical/None/Other
NA,south west,female,white,Married/Widowed,53,Owns/Mortgage,BA
Conservative,west midlands,male,white,Married/Widowed,65,Owns/Outright,Technical/None/Other
NA,south west,male,white,Seperated/Divorced,32,Owns/Mortgage,Technical/None/Other
NA,greater london,male,white,Married/Widowed,38,Owns/Mortgage,BA
NA,south east,male,white,Partner/Single,67,Owns/Outright,GCE
Labour,north west,female,white,Seperated/Divorced,51,Rent/Other,GCSE
Labour,yorkshire & humberside,male,white,Partner/Single,37,Owns/Mortgage,BA
NA,north,male,white,Partner/Single,26,Owns/Outright,BA
Labour,greater london,male,asian or asian british,Married/Widowed,30,Rent/Other,Technical/None/Other
Labour,west midlands,male,white,Seperated/Divorced,66,Owns/Mortgage,Technical/None/Other
Other,scotland,male,white,Married/Widowed,63,Owns/Outright,GCE
Conservative,south east,male,white,Partner/Single,61,Owns/Mortgage,GCSE
Conservative,south west,female,white,Partner/Single,68,Rent/Other,Technical/None/Other
NA,north west,female,white,Married/Widowed,31,Rent/Other,GCE
NA,greater london,female,white,Partner/Single,58,Owns/Mortgage,GCE
NA,greater london,female,white,Married/Widowed,73,Owns/Outright,BA
Conservative,north west,male,white,Partner/Single,54,Owns/Mortgage,Technical/None/Other
NA,greater london,female,white,Married/Widowed,55,Owns/Mortgage,GCE
Conservative,south east,female,white,Married/Widowed,50,Owns/Outright,BA
Conservative,greater london,female,white,Partner/Single,47,Owns/Mortgage,Technical/None/Other
NA,north,female,white,Married/Widowed,64,Owns/Outright,BA
Labour,north,female,white,Married/Widowed,69,Owns/Outright,GCE
Labour,east midlands,female,white,Married/Widowed,66,Owns/Outright,BA
NA,east midlands,male,white,Seperated/Divorced,65,Owns/Outright,Technical/None/Other
LiberalDemocrat,wales,male,white,Married/Widowed,29,Owns/Mortgage,Technical/None/Other
Other,greater london,male,white,Married/Widowed,39,Owns/Mortgage,GCSE
Conservative,east anglia,male,white,Married/Widowed,71,Rent/Other,GCE
Conservative,east midlands,female,white,Married/Widowed,70,Owns/Outright,Technical/None/Other
Conservative,west midlands,female,white,Married/Widowed,66,Owns/Outright,BA
Conservative,south west,male,white,Partner/Single,21,Owns/Outright,GCE
NA,greater london,female,white,Married/Widowed,63,Owns/Outright,BA
LiberalDemocrat,north west,female,white,Married/Widowed,67,Owns/Outright,GCE
Conservative,greater london,female,white,Married/Widowed,67,Owns/Mortgage,GCSE
NA,south east,female,white,Married/Widowed,66,Owns/Outright,Technical/None/Other
Labour,north west,male,white,Married/Widowed,42,Rent/Other,Technical/None/Other
Other,yorkshire & humberside,female,white,Married/Widowed,33,Rent/Other,GCE
NA,west midlands,female,white,Seperated/Divorced,69,Rent/Other,GCE
NA,yorkshire & humberside,female,white,Partner/Single,54,Rent/Other,Technical/None/Other
Conservative,south east,female,white,Seperated/Divorced,61,Owns/Outright,Technical/None/Other
NA,yorkshire & humberside,male,white,Married/Widowed,61,Owns/Outright,Technical/None/Other
Labour,yorkshire & humberside,male,white,Married/Widowed,58,Owns/Outright,BA
NA,east anglia,male,white,Married/Widowed,62,Owns/Outright,Technical/None/Other
Conservative,east anglia,male,white,Married/Widowed,63,Owns/Outright,Technical/None/Other
Conservative,greater london,female,white,Seperated/Divorced,63,Rent/Other,Technical/None/Other
Conservative,greater london,male,white,Married/Widowed,57,Owns/Outright,GCSE
Conservative,north,male,white,Married/Widowed,66,Owns/Outright,GCE
Labour,east midlands,male,white,Married/Widowed,71,Owns/Outright,Technical/None/Other
NA,south east,male,white,Married/Widowed,60,Rent/Other,Technical/None/Other
NA,yorkshire & humberside,female,white,Partner/Single,34,Owns/Mortgage,GCSE
Other,yorkshire & humberside,male,white,Partner/Single,52,Rent/Other,Technical/None/Other
LiberalDemocrat,south east,male,white,Partner/Single,45,Owns/Mortgage,GCSE
Conservative,north,female,white,Married/Widowed,72,Rent/Other,Technical/None/Other
NA,yorkshire & humberside,male,white,Seperated/Divorced,65,Rent/Other,Technical/None/Other
Conservative,greater london,female,white,Married/Widowed,85,Owns/Outright,BA
Conservative,scotland,male,white,Married/Widowed,60,Owns/Mortgage,GCE
NA,north west,male,white,Married/Widowed,48,Owns/Mortgage,Technical/None/Other
NA,north west,male,white,Married/Widowed,55,Owns/Mortgage,GCE
Labour,greater london,female,white,Married/Widowed,81,Owns/Outright,BA
Conservative,south east,female,white,Seperated/Divorced,59,Owns/Outright,BA
Other,south west,male,white,Married/Widowed,32,Owns/Mortgage,Technical/None/Other
LiberalDemocrat,south west,female,white,Married/Widowed,63,Owns/Outright,Technical/None/Other
Labour,greater london,female,white,Seperated/Divorced,72,Rent/Other,GCSE
LiberalDemocrat,south west,female,white,Married/Widowed,49,Rent/Other,GCE
Conservative,south east,female,white,Partner/Single,43,Owns/Mortgage,GCE
NA,scotland,male,white,Partner/Single,27,Owns/Mortgage,BA
NA,south west,male,white,Married/Widowed,34,Owns/Mortgage,BA
NA,east anglia,female,white,Married/Widowed,53,Rent/Other,Technical/None/Other
LiberalDemocrat,north west,female,white,Married/Widowed,60,Owns/Outright,Technical/None/Other
NA,south east,female,white,Partner/Single,66,Owns/Outright,GCE
Conservative,yorkshire & humberside,male,white,Partner/Single,30,Rent/Other,Technical/None/Other
Conservative,south east,male,white,Partner/Single,34,Rent/Other,BA
LiberalDemocrat,greater london,male,white,Partner/Single,70,Owns/Outright,Technical/None/Other
NA,south east,female,white,Seperated/Divorced,46,Owns/Mortgage,GCSE
Labour,east midlands,male,white,Married/Widowed,53,Owns/Mortgage,BA
Labour,north west,female,white,Partner/Single,62,Owns/Outright,Technical/None/Other
Conservative,north west,male,white,Married/Widowed,67,Owns/Outright,Technical/None/Other
Conservative,north west,male,asian or asian british,Married/Widowed,44,Owns/Outright,BA
Labour,south east,female,white,Married/Widowed,61,Owns/Outright,Technical/None/Other
Labour,east anglia,female,white,Seperated/Divorced,48,Rent/Other,Technical/None/Other
NA,west midlands,female,white,Seperated/Divorced,49,Owns/Mortgage,BA
Conservative,south east,male,white,Married/Widowed,70,Owns/Outright,GCE
Conservative,south east,female,white,Married/Widowed,58,Owns/Mortgage,Technical/None/Other
LiberalDemocrat,yorkshire & humberside,female,white,Partner/Single,62,Rent/Other,BA
Other,yorkshire & humberside,male,white,Married/Widowed,37,Rent/Other,Technical/None/Other
Labour,greater london,female,black or black british,Partner/Single,48,Rent/Other,BA
Labour,wales,male,white,Married/Widowed,49,Owns/Mortgage,Technical/None/Other
NA,east anglia,female,white,Married/Widowed,40,Owns/Mortgage,GCE
Conservative,south east,male,white,Married/Widowed,71,Owns/Outright,Technical/None/Other
Labour,north west,female,white,Married/Widowed,68,Owns/Outright,Technical/None/Other
Labour,north west,male,white,Partner/Single,36,Rent/Other,GCSE
Conservative,yorkshire & humberside,female,white,Married/Widowed,64,Rent/Other,Technical/None/Other
NA,west midlands,female,white,Married/Widowed,48,Owns/Mortgage,GCE
Labour,west midlands,female,white,Married/Widowed,58,Owns/Outright,GCSE
Conservative,south east,female,white,Married/Widowed,38,Owns/Mortgage,GCSE
Conservative,south east,female,white,Married/Widowed,45,Owns/Mortgage,BA
NA,south east,female,white,Married/Widowed,28,Owns/Mortgage,BA
Labour,scotland,male,white,Married/Widowed,42,Owns/Mortgage,GCE
Conservative,yorkshire & humberside,male,white,Married/Widowed,63,Owns/Mortgage,GCSE
Labour,east anglia,male,white,Seperated/Divorced,49,Owns/Mortgage,GCE
Other,greater london,male,white,Partner/Single,47,Owns/Mortgage,Technical/None/Other
LiberalDemocrat,south west,female,white,Seperated/Divorced,48,Rent/Other,GCE
Other,east midlands,male,white,Partner/Single,46,Owns/Outright,BA
Other,west midlands,male,white,Married/Widowed,61,Owns/Mortgage,GCE
LiberalDemocrat,south east,female,white,Married/Widowed,28,Owns/Mortgage,GCE
Conservative,east midlands,female,mixed background,Married/Widowed,60,Rent/Other,GCSE
Labour,yorkshire & humberside,male,white,Married/Widowed,73,Owns/Mortgage,BA
Labour,greater london,male,other ethnic background,Partner/Single,26,Owns/Mortgage,GCE
NA,south west,female,white,Married/Widowed,67,Owns/Outright,GCSE
NA,north west,male,white,Married/Widowed,39,Owns/Mortgage,GCE
LiberalDemocrat,south east,male,white,Married/Widowed,41,Owns/Mortgage,GCSE
LiberalDemocrat,greater london,female,white,Seperated/Divorced,71,Owns/Mortgage,BA
NA,south west,female,white,Married/Widowed,62,Owns/Outright,Technical/None/Other
Labour,north,female,white,Partner/Single,64,Owns/Outright,BA
Labour,greater london,female,black or black british,Partner/Single,40,Owns/Mortgage,BA
Conservative,south east,male,white,Married/Widowed,63,Owns/Outright,Technical/None/Other
Labour,north west,male,white,Married/Widowed,40,Owns/Mortgage,GCE
NA,east anglia,female,white,Partner/Single,61,Owns/Outright,Technical/None/Other
Labour,north west,female,white,Married/Widowed,57,Owns/Outright,GCSE
NA,west midlands,male,white,Married/Widowed,66,Owns/Mortgage,GCE
Conservative,north west,male,white,Married/Widowed,56,Owns/Mortgage,Technical/None/Other
LiberalDemocrat,north west,male,white,Married/Widowed,66,Owns/Outright,BA
Labour,east midlands,male,white,Partner/Single,30,Owns/Mortgage,BA
NA,west midlands,male,white,Married/Widowed,79,Owns/Outright,Technical/None/Other
Labour,south east,male,white,Partner/Single,43,Owns/Mortgage,GCE
Labour,east anglia,male,white,Married/Widowed,72,Owns/Outright,Technical/None/Other
Labour,east midlands,male,white,Married/Widowed,51,Owns/Mortgage,GCSE
LiberalDemocrat,north,male,white,Partner/Single,39,Owns/Mortgage,GCE
Conservative,west midlands,male,white,Married/Widowed,63,Owns/Mortgage,Technical/None/Other
NA,greater london,male,white,Married/Widowed,51,Owns/Mortgage,GCE
LiberalDemocrat,yorkshire & humberside,male,white,Partner/Single,45,Owns/Mortgage,BA
NA,south east,male,white,Married/Widowed,28,Owns/Mortgage,BA
Labour,north west,female,white,Partner/Single,30,Owns/Mortgage,GCE
Labour,yorkshire & humberside,female,asian or asian british,Married/Widowed,39,Owns/Outright,Technical/None/Other
NA,south east,female,white,Married/Widowed,54,Rent/Other,GCE
Conservative,greater london,female,white,Partner/Single,66,Rent/Other,BA
LiberalDemocrat,east anglia,male,white,Married/Widowed,63,Owns/Outright,Technical/None/Other
NA,east anglia,female,white,Partner/Single,37,Owns/Mortgage,GCE
NA,south west,male,white,Seperated/Divorced,65,Owns/Mortgage,Technical/None/Other
NA,east anglia,male,white,Partner/Single,30,Rent/Other,BA
LiberalDemocrat,south west,female,white,Seperated/Divorced,62,Owns/Outright,BA
Other,north west,male,white,Married/Widowed,59,Owns/Mortgage,Technical/None/Other
NA,south east,female,white,Married/Widowed,68,Owns/Outright,GCE
Labour,south east,male,white,Married/Widowed,61,Owns/Mortgage,Technical/None/Other
Conservative,east anglia,female,white,Married/Widowed,59,Owns/Mortgage,Technical/None/Other
Conservative,east midlands,female,white,Seperated/Divorced,64,Rent/Other,Technical/None/Other
NA,south east,female,white,Partner/Single,22,Rent/Other,GCE
LiberalDemocrat,west midlands,male,white,Partner/Single,30,Rent/Other,GCE
Labour,scotland,female,white,Married/Widowed,59,Owns/Outright,BA
NA,south west,male,white,Partner/Single,27,Rent/Other,BA
Labour,north west,male,white,Married/Widowed,58,Rent/Other,GCSE
NA,yorkshire & humberside,male,white,Married/Widowed,69,Owns/Outright,Technical/None/Other
NA,scotland,female,white,Partner/Single,22,Owns/Mortgage,GCE
NA,east midlands,female,white,Partner/Single,46,Owns/Mortgage,BA
LiberalDemocrat,yorkshire & humberside,male,white,Married/Widowed,38,Owns/Mortgage,BA
NA,west midlands,female,white,Partner/Single,19,Rent/Other,GCSE
Other,greater london,female,white,Partner/Single,59,Owns/Mortgage,BA
Conservative,south east,male,white,Married/Widowed,28,Owns/Mortgage,BA
Conservative,east anglia,male,white,Married/Widowed,59,Rent/Other,Technical/None/Other
Labour,south west,female,white,Married/Widowed,38,Owns/Outright,GCE
NA,greater london,female,white,Seperated/Divorced,64,Owns/Outright,BA
LiberalDemocrat,west midlands,female,white,Married/Widowed,47,Owns/Mortgage,GCE
NA,south east,male,white,Seperated/Divorced,63,Rent/Other,Technical/None/Other
Labour,north west,female,black or black british,Partner/Single,60,Owns/Mortgage,BA
NA,north,male,white,Married/Widowed,41,Rent/Other,Technical/None/Other
NA,south east,male,white,Married/Widowed,47,Owns/Mortgage,GCE
Conservative,east midlands,male,white,Married/Widowed,61,Owns/Outright,Technical/None/Other
Conservative,south west,female,white,Married/Widowed,60,Owns/Outright,GCSE
Conservative,east anglia,female,white,Married/Widowed,61,Owns/Outright,GCE
Conservative,east anglia,female,white,Married/Widowed,73,Owns/Outright,BA
Conservative,west midlands,female,white,Seperated/Divorced,60,Owns/Outright,Technical/None/Other
NA,east midlands,female,mixed background,Seperated/Divorced,61,Owns/Outright,BA
Conservative,west midlands,female,white,Seperated/Divorced,73,Rent/Other,Technical/None/Other
Conservative,east anglia,female,white,Married/Widowed,61,Owns/Outright,BA
NA,east midlands,male,asian or asian british,Married/Widowed,35,Owns/Mortgage,GCE
NA,south west,female,white,Seperated/Divorced,71,Owns/Outright,GCE
Labour,north west,male,white,Partner/Single,36,Owns/Mortgage,GCE
Conservative,south west,female,white,Married/Widowed,77,Owns/Outright,BA
Conservative,south east,male,white,Married/Widowed,81,Owns/Outright,BA
LiberalDemocrat,east anglia,female,white,Married/Widowed,68,Owns/Outright,Technical/None/Other
Labour,west midlands,male,white,Married/Widowed,48,Owns/Mortgage,Technical/None/Other
NA,wales,male,white,Partner/Single,32,Rent/Other,BA
Conservative,south east,female,white,Seperated/Divorced,63,Owns/Outright,BA
LiberalDemocrat,south east,female,white,Partner/Single,64,Owns/Outright,BA
LiberalDemocrat,south east,female,white,Married/Widowed,38,Owns/Mortgage,Technical/None/Other
Labour,yorkshire & humberside,male,white,Married/Widowed,48,Owns/Mortgage,BA
Conservative,west midlands,female,white,Married/Widowed,56,Owns/Mortgage,GCSE
NA,west midlands,female,white,Married/Widowed,63,Owns/Outright,BA
Labour,east anglia,male,white,Married/Widowed,69,Rent/Other,Technical/None/Other
LiberalDemocrat,wales,male,white,Married/Widowed,67,Owns/Mortgage,Technical/None/Other
NA,south west,female,white,Partner/Single,25,Rent/Other,BA
NA,east anglia,female,white,Partner/Single,30,Owns/Outright,Technical/None/Other
Labour,south east,male,white,Seperated/Divorced,80,Owns/Outright,GCSE
Conservative,south east,female,white,Married/Widowed,63,Owns/Outright,Technical/None/Other
Conservative,greater london,male,white,Married/Widowed,48,Owns/Mortgage,BA
LiberalDemocrat,east anglia,male,white,Partner/Single,44,Owns/Mortgage,Technical/None/Other
NA,south west,male,white,Partner/Single,59,Owns/Outright,BA
Other,south west,male,white,Married/Widowed,65,Owns/Outright,GCE
Labour,greater london,female,white,Seperated/Divorced,59,Rent/Other,GCSE
Conservative,north,male,white,Married/Widowed,63,Owns/Mortgage,Technical/None/Other
NA,east anglia,female,white,Married/Widowed,42,Rent/Other,GCSE
Other,south east,male,white,Married/Widowed,71,Owns/Outright,Technical/None/Other
Conservative,north,male,white,Married/Widowed,64,Owns/Mortgage,Technical/None/Other
NA,south east,female,white,Married/Widowed,61,Rent/Other,GCE
LiberalDemocrat,south east,male,white,Married/Widowed,54,Owns/Mortgage,Technical/None/Other
Labour,greater london,male,asian or asian british,Married/Widowed,29,Rent/Other,BA
NA,greater london,female,black or black british,Partner/Single,29,Rent/Other,Technical/None/Other
Conservative,yorkshire & humberside,female,white,Partner/Single,26,Owns/Mortgage,GCE
Conservative,south east,female,white,Seperated/Divorced,59,Owns/Mortgage,Technical/None/Other
NA,west midlands,male,white,Married/Widowed,62,Rent/Other,Technical/None/Other
Conservative,yorkshire & humberside,female,white,Married/Widowed,58,Owns/Mortgage,GCSE
Labour,scotland,male,white,Married/Widowed,56,Rent/Other,GCE
LiberalDemocrat,yorkshire & humberside,female,white,Married/Widowed,64,Rent/Other,GCSE
Conservative,north west,male,white,Partner/Single,62,Owns/Outright,Technical/None/Other
NA,south east,male,white,Partner/Single,31,Owns/Mortgage,BA
NA,yorkshire & humberside,male,white,Seperated/Divorced,45,Owns/Mortgage,Technical/None/Other
Conservative,west midlands,female,white,Seperated/Divorced,48,Owns/Mortgage,GCSE
Labour,wales,male,white,Partner/Single,68,Rent/Other,Technical/None/Other
LiberalDemocrat,south east,female,white,Married/Widowed,65,Owns/Outright,BA
Conservative,wales,female,white,Married/Widowed,38,Rent/Other,GCSE
NA,wales,male,white,Married/Widowed,50,Owns/Outright,GCSE
NA,south west,female,white,Married/Widowed,73,Owns/Outright,GCE
Conservative,west midlands,male,white,Married/Widowed,79,Owns/Outright,Technical/None/Other
LiberalDemocrat,south east,male,white,Married/Widowed,64,Owns/Outright,BA
Conservative,south east,male,white,Married/Widowed,42,Owns/Mortgage,GCE
Labour,wales,male,white,Married/Widowed,70,Owns/Mortgage,GCSE
NA,wales,female,white,Married/Widowed,54,Owns/Outright,Technical/None/Other
NA,west midlands,male,other ethnic background,Married/Widowed,93,Rent/Other,GCE
NA,south east,male,white,Partner/Single,35,Rent/Other,GCE
NA,greater london,female,white,Married/Widowed,70,Owns/Outright,Technical/None/Other
Conservative,south east,male,white,Married/Widowed,36,Owns/Mortgage,GCE
NA,north west,female,white,Married/Widowed,35,Owns/Mortgage,GCE
NA,greater london,female,white,Partner/Single,59,Owns/Outright,GCE
NA,east midlands,female,white,Married/Widowed,57,Owns/Outright,GCE
Conservative,east anglia,female,white,Seperated/Divorced,41,Owns/Mortgage,BA
NA,north west,female,white,Married/Widowed,45,Owns/Mortgage,Technical/None/Other
NA,greater london,male,white,Married/Widowed,58,Owns/Mortgage,Technical/None/Other
NA,east midlands,female,white,Partner/Single,28,Owns/Outright,BA
NA,south east,female,white,Married/Widowed,75,Owns/Outright,BA
LiberalDemocrat,yorkshire & humberside,male,white,Married/Widowed,41,Owns/Mortgage,BA
Labour,greater london,female,white,Married/Widowed,63,Owns/Mortgage,BA
Labour,north west,female,white,Married/Widowed,71,Owns/Outright,GCE
NA,greater london,male,mixed background,Partner/Single,38,Rent/Other,GCE
NA,south east,female,white,Partner/Single,39,Owns/Mortgage,GCSE
NA,greater london,female,white,Married/Widowed,35,Owns/Mortgage,BA
Labour,greater london,female,white,Seperated/Divorced,57,Rent/Other,Technical/None/Other
LiberalDemocrat,greater london,female,white,Married/Widowed,59,Owns/Outright,Technical/None/Other
Other,west midlands,male,white,Married/Widowed,68,Owns/Outright,BA
Conservative,west midlands,female,white,Married/Widowed,30,Owns/Mortgage,BA
Labour,scotland,male,white,Married/Widowed,29,Owns/Mortgage,BA
NA,north,female,white,Married/Widowed,30,Owns/Mortgage,Technical/None/Other
Conservative,east midlands,male,white,Married/Widowed,31,Rent/Other,BA
Conservative,greater london,male,white,Married/Widowed,65,Owns/Outright,BA
NA,greater london,male,white,Seperated/Divorced,55,Rent/Other,Technical/None/Other
Labour,north west,male,white,Partner/Single,31,Owns/Mortgage,Technical/None/Other
LiberalDemocrat,south east,male,white,Married/Widowed,61,Owns/Mortgage,BA
Conservative,yorkshire & humberside,male,white,Married/Widowed,70,Owns/Outright,GCE
